Gen_ACCESSCMT	Gen_COMMENTS	s_Generation	s_GUID	s_Lineage	ACCESSION	PARA_SPEC	PARA_GENUS	HOST_SPEC	HOST_GENUS	CLASS	BODY_LOC	HOSTTAXON	ORIGFLDNO	MUSEUMNO	FIXATIVE	STAINS	MOUNTANT	LOCAL_GEO	LOCAL_POL	LOCAL_MAP	LATDEG	LATMIN	LATSEC	LATDIR	LONGDEG	LONGMIN	LONGSEC	LONGDIR	TYPE_STAT	STORAGE_NO	COLLECTOR	COLL_DATE	IDENTIFIER	IDENT_DATE	DONOR	BORROWER	LOAN_DATE	Create_D	STAGE	SEX	COMMENTS	ACCESSCMT
1	1	1	{AAD2F7E9-8A0C-11D2-A88F-0080296707ED}		73595	EUCALIAE	GYRODACTYLUS	INCONSTANS	EUCALIA =CULAEA	MONOGENEA		Pisces: Gasterosteriformes: Gasterosteridae						NORTH AMERICA	USA,ND,BUTTE,COTTONWOOD LAKE										VOUCHER	1183-17/25;1184-1185;1186-1/7			KRITSKY, D C			0					66 slides, vouchers.   NOTE: Eucalia inconstans=Culaea inconstans FishBase 2000.	
1	1	1	{AAD2F7EA-8A0C-11D2-A88F-0080296707ED}		73596	EUCALIAE	GYRODACTYLUS	INCONSTANS	EUCALIA =CULAEA	MONOGENEA		Pisces: Gasterosteriformes: Gasterosteridae						NORTH AMERICA	USA,ND,BUTTE,COTTONWOOD LAKE										VOUCHER	1186-8/20			KRITSKY, D C			0					13 slides, vouchers.   NOTE: Eucalia inconstans=Culaea inconstans FishBase 2000.	
1	1	1	{AAD2B427-8A0C-11D2-A88F-0080296707ED}		55619	EUCALIAE	GYRODACTYLUS	INCONSTANS	EUCALIA =CULAEA	MONOGENEA								NORTH AMERICA	USA,ND,GRAND FORKS,ENGLISH COULEE										SYNTYPES	695A-14/18	HOFFMAN, G L		HOFFMAN, G L	3-Mar-57		0					sp. n., 5 slides, Syntypes.  (No Type designated in letter).   NOTE: Eucalia inconstans=Culaea inconstans FishBase 2000.	
			{69304213-3CBB-4673-B756-8A3FF1818AE0}		101766	GRACILIS PELLUCIDUS	APATEMON	INCONSTANS	EUCALIA =CULEA	DIGENEA		Pisces: Gasterosteiformes: Gasterosteidae				Carmine	Canada balsam	NORTH AMERICA	USA,ND,Grand Forks Co,English Coulee					N				W	VOUCHERS	300A-11/13	HOFFMAN, G L	5-Oct-54	HOFFMAN, G L		0	0		4/6/09	Metacercaria/e (tetracotyle)		3 slides, vouchers, tetracotyle metacercariae.   Slide 300A-11 shows "accordian".	
			{C16CBAA5-537F-4265-B4DC-A93609FA644E}		101769	GRACILIS PELLUCIDUS	APATEMON	INCONSTANS	EUCALIA =CULEA	DIGENEA		Pisces: Gasterosteiformes: Gasterosteidae				H&E	Canada balsam	NORTH AMERICA	USA,ND,Grand Forks Co,English Coulee					N				W	VOUCHER	SH230:21-9	HOFFMAN, G L	10-Nov-54	HOFFMAN, G L		0	0		4/7/09	Metacercaria/e		1 slide, vouchers, metacercariae H&E sections of tail.	
			{CCCA5A18-6B00-48DD-90BE-E960662BE330}		100352		DIGENEA	INCONSTANS	EUCALIA=CULAEA	DIGENEA	intestine		KWU-715.7			Carmine	Canada balsam	NORTH AMERICA	USA,MI,stream near Cheybogan					N				W	VOUCHER	691A-10	CREASER,	31-Jul-31			0	0		11/2/07	Adult		1 slide, voucher, gravid specimen.   KWU-715.7, female brook stickelback, 5.4 cm.  Found in La Rue Coll. Nov 2007.  NOTE: Eucalia inconstans=Culaea inconstans FishBase 2000.	
1	1	1	{AAD32262-8A0C-11D2-A88F-0080296707ED}		64817		NEOECHINORHYNCHUS	INCONSTANS	EUCALIA=CULAEA	ACANTHOCEPHALA	INTESTINE		VanCleave-4138;Bangham-K585-587					NORTH AMERICA	USA,WI,DICKINSON CO										VOUCHER	Sh222:7-55/59	BANGHAM, R V	1948	VAN CLEAVE, H J			0					5 slides, vouchers.  VC-4138.8,.13-.16; Bangham-K585-587, brook stickleback.  NOTE: Eucalia inconstans=Culaea inconstans FishBase 2000.	
			{5BB13F7E-06A6-11D6-B4BF-00B0D02BC4B2}		91975	MAMILLATUS	PHARYNGODON	SCHNEIDERI	EUMECES =NOVOEUMECES	NEMATODA	LG INTESTINE			UFM-70879, 70880 pooled (Univ Florida Museum)				ASIA	PAKISTAN,Sind Prov.,Karachi Dist, Malir Cantonment		24	59	0	N	66	42	0	E	VOUCHER	SH129-7	TELFORD, S R, Jr	1-May-76	BURSEY, C R	7-Jan-02	50	0		1/11/02			1 vial, vouchers (pooled) .  Host deposited in UFM-70879, 70880, 2 hosts (1 female, 1 male) with 198 +/- 142, 97-298, collected 01 May 1976 Karachi Dist., Malir Cantonment . NEW LOCALITY RECORD.  Pub Goldberg, S R, Bursey, C R, & Telford, Jr, S R, 2003, Comp Parasitol 70: 46-54.  NOTE: Eumeces schniederi =Novoeumeces s.	
1	1	1	{AAD2E641-8A0C-11D2-A88F-0080296707ED}		69004	MAMILLATUS	PHARYNGODON	SCHNEIDERI	EUMECES =NOVOEUMECES	NEMATODA	LG INTESTINE		REKuntz-PE3362N					AFRICA	EGYPT,W. DESERT,AMIRIYA										VOUCHER	Sh99-28	KUNTZ, R E	25-Jun-52	BELLE, E A			0					1 vial, vouchers.   REKuntz-PE3362N.   NOTE: Eumeces schniederi =Novoeumeces.	
1	1	1	{AAD22CB6-8A0C-11D2-A88F-0080296707ED}		8453	NIMIA	HELICOMETRA	LEUCOSTICTUS	EUPOMACENTRUS=STEGASTES	DIGENEA	INTESTINE							NORTH AMERICA	USA,FL,DRY TORTUGAS										SYNTYPES	LOST	LINTON, E	2-Jul-08	LINTON, E	1910		0					gen. n., sp. n., Syntype.  Pub. Linton, 1910: Carn Inst Wash Publ 133: 1-98.   LOANED 8447-8456  to Dr. George La Rue 9/6/32 through Dr. Bartsch.  NOTE: Eupomacentrus leucostictus = Stegastes leucostictus FishBase, 2000.	
1	1	1	{AAD2EC76-8A0C-11D2-A88F-0080296707ED}		70735	SOGANDARESI	LEPOCREADIUM	LEUCOSTICTUS	EUPOMACENTRUS=STEGASTES	DIGENEA								NORTH AMERICA	USA,FL,PANAMA CITY										HOLOTYPE	1040-12	NAHHAS, F M	8-Jul-67	NAHHAS, F M	1970		0					sp. n. 1 slide, Holotype.  NOTE: Eupomacentrus leucostictus = Stegastes leucostictus FishBase, 2000.	
1	1	1	{AAD2717F-8A0C-11D2-A88F-0080296707ED}		36516	EUPOMACENTRI	MICROCOTYLE	LEUCOSTICTUS	EUPOMACENTRUS=STEGASTES	MONOGENEA	GILLS		GAMacCallum-1242					NORTH AMERICA	USA,NY,NEW YORK AQUARIUM										VOUCHER	284-1	MACCALLUM, G A	20-Nov-15				0					1 slide, voucher.  GAMacCallum-1242, beaugregory.  NOTE: Eupomacentrus leucostictus = Stegastes leucostictus FishBase, 2000.	
1	1	1	{AAD26BE1-8A0C-11D2-A88F-0080296707ED}		35102		MICROCOTYLE	LEUCOSTICTUS	EUPOMACENTRUS=STEGASTES	MONOGENEA	GILLS		GAMacCallum-461					NORTH AMERICA	USA,NY,NEW YORK AQUARIUM										VOUCHER	M459-F	MACCALLUM, G A	20-Nov-15				0					1 vial, vouchers.  GAMacCallum-461, beau gregoire.   NOTE: Eupomacentrus leucostictus = Stegastes leucostictus FishBase, 2000.	
1	1	1	{AAD2293D-8A0C-11D2-A88F-0080296707ED}		7607	GRACILIS	SPINITECTUS	GIBBOSUS	EUPOMOTIS  =LEPOMIS	NEMATODA	INTESTINE	Pisces: Perciformes: Centrarchidae	ASPearse-616					NORTH AMERICA	USA,WI,LAKE GENEVA										VOUCHERS	4302-D	PEARSE, A S	20-Aug-20	PEARSE, A S	19-May-21		0			Adults male, female		1 vial, vouchers, male, female (broken).  ASPearse-616.  Specimens removed from slide; placed in vial of 70% EtOH/glycerin.  NOTE: Eupomotis gibbosus =Lepomis gibbosus FishBase, July 2012.	
1	1	1	{AAD2FF57-8A0C-11D2-A88F-0080296707ED}		75473	DISPAR	ONCHOCLEIDUS	GIBBOSUS	EUPOMOTIS =LEPOMIS	MONOGENEA	GILLS		JFMueller-OL848					NORTH AMERICA	USA,NY,CONSTANTIA										SYNTYPES	MT21:22 T	MUELLER, J F		MUELLER, J F	Jan-36		0					sp. n., 1 slide, Cotypes =Syntypes, 3 specimens with cirrus and hooks.  JFMueller-OL848.  Pub Mueller, 1936, Trans Amer Micro Soc 55(1): 55-72.   NOTE: Eupomotis gibbosus =Lepomis gibbosus FishBase May 2008.	
1	1	1	{AAD278E5-8A0C-11D2-A88F-0080296707ED}		38404	MACROSTOMA	PROTEROMETRA	GIBBOSUS	EUPOMOTIS =LEPOMIS	DIGENEA			JFMueller-798b					NORTH AMERICA	USA,NY,Oneida Lake										VOUCHER	M602-E	MUELLER, J F		MUELLER, J F			0					1 vial, vouchers.  JFMueller-798b.          NOTE: Eupomotis gibbosus =Lepomis gibbosus FishBase May 2008.	
1	1	1	{AAD2A55E-8A0C-11D2-A88F-0080296707ED}		49546	CLAVICEPS	BOTHRIOCEPHALUS	GIBBOSUS	EUPOMOTIS=LEPOMIS	CESTODA			HBWard-17.33,17.95,17.96,17.97					NORTH AMERICA	USA,MI,WALNUT LAKE										VOUCHER	M707-E; 410-22/25	E.L.M.	13-May-06	COOPER, A R			0					1 vial, vouchers. HBWard-17.33 (4 slides, sections); 17.95, 17.96.1, 17.96.2, 17.97. Collected Michigan Biological Survey by E.L.M. Station 54, original No. 726. Note inside vial: all pieces stained blue belong to same strobila-2/12/17 A R Cooper.	
			{E1489B89-2A45-4530-BF92-50512C4454A9}		95882		DIPLOSTOMATIDAE	GIBBOSUS	EUPOMOTIS=LEPOMIS	DIGENEA			VanCleave-2330					NORTH AMERICA	USA,NY,Oneida Lake,Walnut Point					N				W	VOUCHERS	SH226:5-32/34	VAN CLEAVE, H J	27-Aug-29	VAN CLEAVE, H J		0	0		3/28/05	Metacercaria/e (Neascus)		3 slides, vouchers, metacercariae.  VC-2330.  Slide labels say Neascus vancleavi.  Found in Van Cleave Collection.  Note: Eupomotis gibbosus =Lepomis gibbosus FishBase, 2000.	
			{2A9A8B7E-39AF-492C-863B-D93C7D1465B6}		95883		DIPLOSTOMATIDAE	GIBBOSUS	EUPOMOTIS=LEPOMIS	DIGENEA			VanCleave-2331					NORTH AMERICA	USA,IA,Dunham					N				W	VOUCHERS	SH226:5-35/37	VAN CLEAVE, H J	5-Sep-29	VAN CLEAVE, H J		0	0		3/28/05	Metacercaria/e (Neascus)		3 slides, vouchers, metacercariae.  VC-2331.  Slide labels say Neascus vancleavi, and give the locality as Oneida Lake, NY but VC log book gives locality as Dunham, IA.   Found in Van Cleave Collection.  Note: Eupomotis gibbosus =Lepomis gibbosus FishBase, 2000.	
1	1	1	{AAD333F5-8A0C-11D2-A88F-0080296707ED}		6889	PRIMUS	LECHRIORCHIS	SIRTALIS	EUTAENIA (=THAMNOPHIS)	DIGENEA								NORTH AMERICA	CANADA,QUE,MONTREAL										TYPE	M122-19; 307-E	STAFFORD, J		STAFFORD, J	1905		0					sp. n., 1 vial, 1 slide, Type.   Pub Stafford, 1095, Zool Anz 28: 681-694.  See Price, 1936, Proc Helm Soc Wash 3: 32-34 for REDESCRIPTION.	
1	1	1	{AAD333F6-8A0C-11D2-A88F-0080296707ED}		6890	AQUATICUS	ZEUGORCHIS	SIRTALIS	EUTAENIA (=THAMNOPHIS)	DIGENEA								NORTH AMERICA	CANADA,QUE,MONTREAL										VOUCHER	M122-20/21; 295-D	STAFFORD, J		STAFFORD, J	1905		0					1 vial, 2 slides, vouchers.  Pub Stafford, 1905, Zool Anz 28: 681-694.  See Price, 1936, Proc Helm Soc Wash 3: 32-34 for REDESCRIPTION.	
			{60D97D72-4BE0-11D3-A891-0080296707ED}		16569.02	COLORADENSIS	PTERYGODERMATITES	QUADRIVITTATUS	EUTAMIAS = TAMIAS	NEMATODA	SM INTESTINE; STOMACH							NORTH AMERICA	USA,CO,PAGOSA SPRINGS										LECTOTYPE	T113-10/11	WARREN, E R	22-Aug-12	LICHTENFELS, J R	1968		0		8/6/99			REDESCRIPTION: 2 slides, Lectotype female and Paralectotype male.  Pub Lichtenfels, 1970, Proc Helm Soc Wash 37:94-101.  Key to species.   NOTE: Eutamias =Tamias - Kayce C Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2DAE3-8A0C-11D2-A88F-0080296707ED}		66229	EUTAMII	SYPHACIA	DORSALIS	EUTAMIAS = TAMIAS	NEMATODA	CAECUM		AWGrundmann-7029					NORTH AMERICA	USA,UT,Tooele Co,Stansbury Mtns										VOUCHER	5235-B	GRUNDMANN, A W	10-Sep-54	QUIGLEY, D	26-Oct-67		0					1 vial, vouchers.  AWGrundmann-7029.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.  SEE USNPC 066231 for additional specimens.	
1	1	1	{AAD2BD52-8A0C-11D2-A88F-0080296707ED}		57918		WELLCOMIA	MINIMUS	EUTAMIAS =TAMAIS	NEMATODA	LG INTESTINE			Univ MN-V3220				NORTH AMERICA	USA,MN,GRAND MARIAS										VOUCHER	4849-B	ALDOUS, S	23-Sep-38	ERICKSON, A B			0					1 vial, vouchers.   U of MN-#V3220.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD32D4A-8A0C-11D2-A88F-0080296707ED}		16147		CERATOPHYLLUS	AMOENUS OPERARIUS =minimus operarius	EUTAMIAS =TAMIAS	ARTHROPODA	SKIN							NORTH AMERICA	USA,CO,CLYDE										VOUCHER	1423-D	HALL, M C	8-Sep-11	HALL, M C	9-Sep-11							1 vial, vouchers.   NOTE: Eutamias amoenus operarius =Tamias minimus operairus Kayce C. Bell, Denver Mueum, CO, 10 May 2010.	
1	1	1	{AAD23651-8A0C-11D2-A88F-0080296707ED}		16148		CERATOPHYLLUS	AMOENUS OPERARIUS =minimus operarius	EUTAMIAS =TAMIAS	ARTHROPODA	SKIN							NORTH AMERICA	USA,CO,CLYDE										VOUCHER	666-3; 1423-E	HALL, M C	8-Sep-11	HALL, M C	9-Sep-11		0					1 vial, 1 slide, vouchers.   NOTE:  Eutamias amoenus operarius =Tamias minimus operairus Kayce C. Bell, Denver Mueum, CO, 10 May 2010.	
1	1	1	{AAD2B76B-8A0C-11D2-A88F-0080296707ED}		56404	NEBRASKENSIS	CHOANOTAENIA	AMOENUS AFFINIS	EUTAMIAS =TAMIAS	CESTODA	INTESTINE							NORTH AMERICA	USA,WA,YAKIMA,17 MI NW NACHES,ROCKY FLAT										VOUCHER	4607-D; 414A-20/24	BROADBOOKS,H	6-Nov-47	BECKLUND, W W	17-Jun-59		0					1 vial, 5 slides, vouchers.  Genital pore alrtenate irregular, 35 testes, hooks 24-28 um.  See drawing of rostellar hooks and segment Document-404.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2B76C-8A0C-11D2-A88F-0080296707ED}		56405	NEBRASKENSIS	CHOANOTAENIA	AMOENUS AFFINIS	EUTAMIAS =TAMIAS	CESTODA	INTESTINE							NORTH AMERICA	USA,WA,YAKIMA,17 MI NW NACHES,ROCKY FLAT										VOUCHER	4607-E	BROADBOOKS,H	6-Nov-47	BECKLUND, W W	17-Jun-59		0					1 vial, vouchers.  Tentative ID.  Specimens hard and brittle.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2F377-8A0C-11D2-A88F-0080296707ED}		72475	SPERMOPHILI	CHOANOTAENIA	AMOENUS	EUTAMIAS =TAMIAS	CESTODA						Trichrome		NORTH AMERICA	USA,MT,GLACIER NATIONAL PARK										VOUCHER	1108-24&25;1109-1&2	MCBEE, R H, JR.		MCBEE, R H, JR.	30-Nov-72		0					4 slides, vouchers.  Trichrome stain.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2F375-8A0C-11D2-A88F-0080296707ED}		72473	BIFURCATUM	CITELLINEMA	AMOENUS	EUTAMIAS =TAMIAS	NEMATODA								NORTH AMERICA	USA,MT,GLACIER NATIONAL PARK										VOUCHER	M1282-E	MCBEE, R H, JR.		MCBEE, R H, JR.	30-Nov-72		0			Adult 2 males, females (poor)		1 vial, vouchers, 2 males, females in poor condition.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD30209-8A0C-11D2-A88F-0080296707ED}		76127	BIFURCATUM	CITELLINEMA	MINIMUS	EUTAMIAS =TAMIAS	NEMATODA	INTESTINE		SGMcGee-EM3					NORTH AMERICA	CANADA,SASK,BORDEN	52 21'N; 107 07'W									VOUCHER	M1382-G	MCGEE, S G	6-Jul-76	MCGEE, S G	16-Jul-80		0			Adult male		1 vial, voucher, 1 male.  SGMcGee-EM3.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
			{84777B22-3F1E-4F8A-8B2E-4280AB0D4D03}		16185.02	QUADRIVITATTI	CITELLINEMA	QUADRIVITTATUS	EUTAMIAS =TAMIAS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,CO,CRESTED BUTTES										TYPE	T113-20	HALL, M C	27-Sep-11	MANTER, H W	1930		0		5/23/02			REDETERMINATION: comb. n.  Pub Manter, 1930, Trans Amer Micros Soc 49: 26-33.   NOTE: Eutamias quadrivittatus =Tamias quadrivittatus- Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD27AE6-8A0C-11D2-A88F-0080296707ED}		38931	GRUNDMANNI	DENTOSTOMELLA	QUARDIVITTATUS* maybe T. umbrinus	EUTAMIAS =TAMIAS	NEMATODA	INTESTINE							NORTH AMERICA	USA,UT,Dewey Bridge,Great Salt Lake Desert										TYPES	M1091-G	GRUNDMAN, A	Aug-55	CHITWOOD, M B	1963		0					sp. n. 1 vial, Types. Oxyuridae.  Pub 1963, Proc Helm Soc Wash 30: 70-72.  *NOTE:  Eutamias = Tamias: T. quardrivitaus may be T. umbrinus for this locality - Kayce C. Bell, Denver Museum, CO.	
1	1	1	{AAD3467F-8A0C-11D2-A88F-0080296707ED}		87256	TAMIASCIURI	EIMERIA		EUTAMIAS =TAMIAS	PROTOZOA				MUI-10432 (Mus Univ Illinois)				NORTH AMERICA	USA,AZ,GRAND CANYON NATIONAL PARK,ROAD W-3										PHOTOTYPE	DOCUMENT #163	GOODPASTER, W	7-Aug-54	DUSZYNSKI, D W	16-Jun-97		0		6/23/97	Oocysts		sp. n. 1 set Phototypes, sporulated oocysts. Type host: Tamiasciurus hudsonicus. Host deposited Univ. Illinois Museum as #10432.   Prevalence: 1/1 (100%).   Pub. Vance & Duszynski, 1985: J. Parasitol 71: 302-311.  See Levine, Ivens & Kruidenier, 1957, J. Protozool. 4: 80-88.   NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD32D4B-8A0C-11D2-A88F-0080296707ED}		16149.01		HAEMATOPINUS	AMOENUS OPERARIUS =minimus operarius	EUTAMIAS =TAMIAS	ARTHROPODA	SKIN							NORTH AMERICA	USA,CO,CLYDE										VOUCHER	1406-D	HALL, M C	8-Sep-11	HALL, M C	9-Sep-11		0					1 vial, vouchers.  NOTE: Eutamias amoenus operarius =Tamias minimus operairus Kayce C. Bell, Denver Mueum, CO, 10 May 2010.	
1	1	1	{AAD2F37C-8A0C-11D2-A88F-0080296707ED}		72480	CUCULLATUM	HETEROXYNEMA	AMOENUS	EUTAMIAS =TAMIAS	NEMATODA								NORTH AMERICA	USA,MT,GLACIER NATIONAL PARK										VOUCHER	M1283-D	MCBEE, R H, JR.		MCBEE, R H, JR.	5-Dec-72		0			Adult male		1 vial, male.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD30201-8A0C-11D2-A88F-0080296707ED}		76119	CUCULLATUM	HETEROXYNEMA	MINIMUS	EUTAMIAS =TAMIAS	NEMATODA	INTESTINE		SGMcGee-EM5					NORTH AMERICA	CANADA,SASK,SASKATOON	52 17'B; 106 34'W									VOUCHER	M1381-F	MCGEE, S G	22-Sep-76	MCGEE, S G	16-Jul-80		0					1 vial, vouchers.  SGMcGee-EM5.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD310D4-8A0C-11D2-A88F-0080296707ED}		79866	CUCULLATUM	HETEROXYNEMA	PALMERI	EUTAMIAS =TAMIAS	NEMATODA			BBBabero-13214					NORTH AMERICA	US,NV,NYE,ESMERALDA,LINCOLN & CLARK COS										VOUCHER	Sh104-14	BABERO, B B		ARCHIE, I H; BABERO, B B; DWYER, H N	22-Dec-87		0			Adults 2 male (fragment), female		2 vials, vouchers, 2 males, female, male fragment..  BBBabero-13214.  Pub. 1988 Proc Helm Soc Wash 55:74-76.   NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD310D5-8A0C-11D2-A88F-0080296707ED}		79867	CUCULLATUM	HETEROXYNEMA	PALMERI	EUTAMIAS =TAMIAS	NEMATODA			BBBabero-10136					NORTH AMERICA	US,NV,LINCOLN CO,MT. CHARLESTON										VOUCHER	Sh104-14	BABERO, B B		ARCHIE, I H; BABERO, B B; DWYER, H N	22-Dec-87		0			Adults 4 female		"1 vial, vouchers, 4 female.  BBBabero-10136.  Pub. 1988 Proc Helm Soc

Wash 55:74-76.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010."	
1	1	1	{AAD310D6-8A0C-11D2-A88F-0080296707ED}		79868	CUCULLATUM	HETEROXYNEMA	PALMERI	EUTAMIAS =TAMIAS	NEMATODA			BBBabero-13220					NORTH AMERICA	US,NV,NYE,ESMERALDA,LINCOLN & CLARK COS										VOUCHER	SH104-14	BABERO, B B		ARCHIE, I H; BABERO, B B; DWYER, H N	22-Dec-87		0					4 vials, vouchers.  BBBabero-13220.  Pub 1988 Proc Helm Soc Wash 55:74-76.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD310D7-8A0C-11D2-A88F-0080296707ED}		79869	CUCULLATUM	HETEROXYNEMA	PALMERI	EUTAMIAS =TAMIAS	NEMATODA			BBBabero-13210					NORTH AMERICA	US,NV,NYE,ESMERALDA,LINCOLN & CLARK COS										VOUCHER	SH104-14	BABERO, B B		ARCHIE, I H; BABERO, B B; DWYER, H N	22-Dec-87		0			Adults 3 males		2 vials, vouchers.  BBBabero-13210.  Pub. 1988 Proc Helm Soc Wash 55:74-76.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD310D8-8A0C-11D2-A88F-0080296707ED}		79870	CUCULLATUM	HETEROXYNEMA	PANAMINTINUS	EUTAMIAS =TAMIAS	NEMATODA								NORTH AMERICA	US,NV,NYE,ESMERALDA,LINCOLN & CLARK COS										VOUCHER	Sh104-14	BABERO, B B		ARCHIE, I H; BABERO, B B; DWYER, H N	22-Dec-87		0					1 vial, voucher, 1 female.  Pub.1988, Proc Helm Soc Wash 55:74-76.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
			{8E8751E5-5A07-4962-AC9B-CDD23DDDE87A}		103117	CUCULLATUM	HETEROXYNEMA	DORSALIS	EUTAMIAS =TAMIAS	NEMATODA			AGrumdmann-6929					NORTH AMERICA	USA,UT,Tooele Co,Stansbury Mtns										VOUCHER	5505-E	GRUNDMANN, A W		HOBERG, E P	6-May-10		0		5/14/10	Adult female		1 vial, voucher, adult female.   AGrumdmann-6929.  REMOVED from 61135.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD236FC-8A0C-11D2-A88F-0080296707ED}		16637	CUCULLATUM	HETEROXYNEMA	AMOENUS OPERARIUS =minimus operarius	EUTAMIAS =TAMIAS	NEMATODA	CECUM; LG INTESTINE							NORTH AMERICA	USA,CO,COSTILLA CO,SAN ACACIO										TYPE/PARATYPES	T113-1/9; T3--J	HALL, M C	7-Oct-12	HALL, M C	1915		0					sp. n., 1 vial, Type, 9 slides, Paratypes.  NOTE: Eutamias amoenus operarius =Tamias minimus operairus Kayce C. Bell, Denver Mueum, CO, 10 May 2010.	
1	1	1	{AAD2D896-8A0C-11D2-A88F-0080296707ED}		65647.01	CUCULLATUM	HETEROXYNEMA	QUADRIVITATUS =UMBRINUS	EUTAMIAS =TAMIAS	NEMATODA								NORTH AMERICA	USA,UT,DEWEY BRIDGE AREA										VOUCHER	5160-E	GRUNDMANN, A W		CHITWOOD, M B	10-Mar-66		0					1 vial, vouchers.   Also present:  Syphacia eutamii.  NOTE: Eutamias = Tamias:  the species should be T. umbrinus -  Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2DBC5-8A0C-11D2-A88F-0080296707ED}		66454	CUCULLATUM	HETEROXYNEMA	DORSALIS	EUTAMIAS =TAMIAS	NEMATODA	CAECUM																		VOUCHER	290-21	GURNDMANN, D P	17-Aug-53	CHITWOOD, M B	26-Feb-68		0					1 slide, voucher.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD2DAE4-8A0C-11D2-A88F-0080296707ED}		66230	CUCULLATUM	HETEROXYNEMA	QUADRIVITTATUS* maybe T. umbrinus	EUTAMIAS =TAMIAS	NEMATODA	CAECUM							NORTH AMERICA	USA,UT,Colorado R.,Dewey Bridge										VOUCHER	5235-C	GRUNDMANN, A W	20-May-44	QUIGLEY, D	27-Oct-67		0					1 vial, vouchers.  *NOTE: Eutamias = Tamias: species could be T. rufus or T. umbrinus* - most likley T. umbrinus - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
			{264449C9-CF4A-4E80-8141-7C1656D0AD19}		16149.02	ARBORICOLA	HOPLOPLEURA	MINIMUS OPERARIUS	EUTAMIAS =TAMIAS	ARTHROPODA	SKIN							NORTH AMERICA	USA,CO,CLYDE										VOUCHER	1406-D	HALL, M C	8-Sep-11	BELL, Kayce C	7-May-10		0					REDETERMINATION: 1 vial, vouchers, 1 female.  Two nymphs may be Neohamatopinus pacificus  (in same vial).  NOTE: Eutamias =Tamias Kayce C Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD292C6-8A0C-11D2-A88F-0080296707ED}		45041	CILIATUS MONONIS	MONOPSYLLUS	AMOENUS AFFINIS	EUTAMIAS =TAMIAS	ARTHROPODA	EXTERNAL							NORTH AMERICA	USA,WA,CHELAN CO,NASON CREEK										VOUCHER	161A-3/4	DOLLEY, J S	23-May-41	MCINTOSH, Allen	12-Jun-42		0			Adults males, females		2 slides, vouchers, males, females.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
1	1	1	{AAD292C5-8A0C-11D2-A88F-0080296707ED}		45040	EUMOLPI	MONOPSYLLUS	AMOENUS AFFINIS	EUTAMIAS =TAMIAS	ARTHROPODA	EXTERNAL							NORTH AMERICA	USA,WA,CHELAN CO,NASON CREEK										VOUCHER	161A-5/7	DOLLEY, J S	23-May-41	MCINTOSH, Allen	12-Jun-42		0			Adults males, females		3 slides, vouchers,  males, females.  NOTE: Eutamias = Tamias - Kayce C. Bell, Denver Museum, CO, 10 May 2010.	
